file_name, filter_, image_size, camera, center_ra(deg), center_dec(deg), width_ra('), width_dec('), jd, exp_time(s), ccd_temp(C)
19970414_1650_14.72.fits,14.72,"(2048, 15000)",Loral1,252.499021203,33.0152651417,148.790250082,20.3159887228,2450552.93217,30720.0,-33.15
19970414_1220_14.72.fits,14.72,"(2048, 15000)",Loral1,184.999106759,33.0016457158,148.372883184,20.3159887228,2450552.74516,30720.0,-33.15
19970414_1350_14.72.fits,14.72,"(2048, 15000)",Loral1,207.499066158,33.0044020951,148.372883159,20.3159887228,2450552.8075,30720.0,-33.15
19970408_0940_14.72.fits,14.72,"(2048, 15000)",Loral1,144.998943621,33.0060602879,148.3730929,20.3150304214,2450546.65071,30720.0,-33.15
19970414_1320_14.72.fits,14.72,"(2048, 15000)",Loral1,200.003216195,33.0032308764,148.3730929,20.3159887228,2450552.78673,30720.0,-33.15
19970409_1110_14.72.fits,14.72,"(2048, 15000)",Loral1,167.499104495,33.0019465004,148.374980503,20.3159887228,2450547.71033,30720.0,-33.15
19970603_1650_14.72.fits,14.72,"(2048, 15000)",Loral1,252.49893511,33.0102179055,148.372883184,20.3159887228,2450602.79566,30720.0,-33.15
19970409_1730_14.72.fits,14.72,"(2048, 15000)",Loral1,262.499030563,33.0188773318,148.372883184,20.3159887228,2450547.97352,30720.0,-33.15
19970410_1100_14.72.fits,14.72,"(2048, 15000)",Loral1,165.003155563,33.0022376968,148.372673442,20.3150304214,2450548.70068,30720.0,-33.15
19970408_1230_14.72.fits,14.72,"(2048, 15000)",Loral1,187.499005668,33.0051804017,148.372673442,20.3150304214,2450546.76847,30720.0,-33.15
19970414_1230_14.72.fits,14.72,"(2048, 15000)",Loral1,187.499126769,33.001835818,148.370785864,20.3159887228,2450552.75209,30720.0,-33.15
19970603_1330_14.72.fits,14.72,"(2048, 15000)",Loral1,202.499106981,32.9989732327,148.372883184,20.3159887228,2450602.65713,30720.0,-33.15
19970410_1500_14.72.fits,14.72,"(2048, 15000)",Loral1,224.998916801,33.0090120434,148.372883159,20.3150304214,2450548.86691,30720.0,-33.15
